Soil Moisture [RH%],Soil Temperature [C],Environmental Temperature [ C],Environmental Humidity [RH %],Weather Forecast Rainfall [mm],Crop Data Evapotranspiration [mm],Irrigation_Decision
25.57,23.2,32.3,50.0,0.0,0.09,2
25.51,23.2,32.7,48.0,0.0,0.21,2
25.51,23.2,32.8,47.5,0.0,0.21,2
25.46,23.2,32.1,47.5,0.0,0.21,2
25.46,23.2,32.4,47.0,0.0,0.21,2
25.46,23.2,32.9,48.0,0.0,0.21,2
25.41,23.2,33.5,47.5,0.0,0.21,2
25.41,23.2,33.8,46.0,0.0,0.34,2
25.41,23.3,33.5,45.5,0.0,0.34,2
25.35,23.3,33.4,48.0,0.0,0.34,2
25.35,23.3,33.4,48.5,0.0,0.34,2
25.24,23.3,33.6,45.0,0.0,0.34,2
25.24,23.3,33.8,47.5,0.0,0.34,2
25.24,23.3,33.3,47.5,0.0,0.42,2
25.24,23.4,33.6,46.0,0.0,0.42,2
25.17,23.4,33.9,45.5,0.0,0.42,2
25.17,23.4,33.7,45.0,0.0,0.42,2
25.17,23.4,33.6,47.5,0.0,0.42,2
25.12,23.5,33.9,48.5,0.0,0.42,2
25.12,23.5,34.0,47.5,0.0,0.47,2
25.12,23.5,34.2,46.5,0.0,0.47,2
25.06,23.5,34.1,44.0,0.0,0.47,2
25.06,23.6,34.0,46.5,0.0,0.47,2
25.01,23.6,34.5,45.5,0.0,0.47,2
25.01,23.6,34.3,48.5,0.0,0.47,2
25.01,23.7,34.8,44.0,0.1,0.4,2
25.01,23.7,35.2,45.0,0.1,0.4,2
24.95,23.7,35.7,42.0,0.1,0.4,2
24.95,23.8,35.5,42.0,0.1,0.4,2
24.9,23.8,35.5,43.5,0.1,0.4,2
24.9,23.8,35.7,42.0,0.1,0.4,2
24.84,23.9,35.3,42.5,0.2,0.48,2
24.9,23.9,33.8,45.5,0.2,0.48,2
24.84,23.9,35.2,44.0,0.2,0.48,2
24.84,24.0,35.8,41.5,0.2,0.48,2
24.79,24.0,36.5,41.0,0.2,0.48,2
24.79,24.0,36.7,40.5,0.2,0.48,2
24.79,24.1,36.4,39.5,0.1,0.48,2
24.73,24.1,37.0,39.0,0.1,0.48,2
24.73,24.1,37.0,41.0,0.1,0.48,2
24.73,24.2,37.1,42.0,0.1,0.48,2
24.73,24.2,37.2,40.5,0.1,0.48,2
24.62,24.2,36.9,42.0,0.1,0.48,2
24.62,24.3,37.4,39.5,0.0,0.41,2
24.62,24.3,37.4,38.0,0.0,0.41,2
24.57,24.3,37.4,39.0,0.0,0.41,2
24.57,24.3,37.6,39.0,0.0,0.41,2
24.57,24.4,38.3,38.0,0.0,0.41,2
24.53,24.4,37.8,38.5,0.0,0.41,2
24.53,24.4,37.2,40.0,0.1,0.29,2
24.53,24.4,35.6,42.5,0.1,0.29,2
24.53,24.4,34.9,42.5,0.1,0.29,2
24.47,24.5,32.9,45.5,0.1,0.29,2
24.47,24.5,33.5,45.0,0.1,0.29,2
24.47,24.5,35.4,44.0,0.1,0.29,2
24.47,24.5,35.5,41.5,0.0,0.28,2
24.47,24.5,35.2,43.5,0.0,0.28,2
24.42,24.5,34.9,43.5,0.0,0.28,2
24.42,24.5,34.5,44.5,0.0,0.28,2
24.42,24.6,33.9,45.0,0.0,0.28,2
24.36,24.6,32.7,46.0,0.0,0.28,2
24.36,24.6,31.6,48.0,0.0,0.18,2
24.36,24.6,30.5,50.5,0.0,0.18,2
24.36,24.6,29.6,52.5,0.0,0.18,2
24.36,24.6,29.1,54.5,0.0,0.18,2
24.36,24.6,28.6,56.0,0.0,0.18,2
24.31,24.6,28.0,57.0,0.0,0.18,2
24.31,24.6,27.3,62.5,0.0,0.08,2
24.31,24.6,27.0,62.5,0.0,0.08,2
24.31,24.6,26.7,65.5,0.0,0.08,2
24.31,24.6,26.8,65.5,0.0,0.08,2
24.31,24.6,26.9,65.5,0.0,0.08,2
24.31,24.6,26.8,65.5,0.0,0.08,2
24.31,24.6,26.7,66.5,0.0,0.01,2
24.25,24.6,26.4,67.0,0.0,0.01,2
24.25,24.6,25.9,69.0,0.0,0.01,2
24.31,24.6,25.6,69.5,0.0,0.01,2
24.25,24.6,25.9,68.0,0.0,0.01,2
24.25,24.6,26.0,68.5,0.0,0.01,2
